Time, New Command, Measured EIP, Command EIP, Measured DI, Command DI, Measured EDC, Command EDC, Measured PI, Command PI, Measured LUM, Command LUM, Measured FDS, Command FDS, Measured FDP, Command FDP, Force y, Mx, Force x, M z, M y, Force z,0.331121919
54.67,0,9.930714,10,-0.599484,5,9.977319,10,9.997878,10,30.252038,5,10.007728,10,4.999975,5,0.181121,0.273938,0.173709,0.020304,-0.251701,-0.035129,0.421897735
105.2,0,9.992344,10,-0.591364,10,10.036118,10,10.032747,10,30.791065,10,5.114488,5,10.044547,10,0.166941,0.253312,0.208515,0.018048,-0.288441,-0.031583,0.87059204
84.95,0,9.971334,10,-0.590011,10,5.041267,5,10.026408,10,30.838044,5,5.193674,5,10.058483,10,0.165974,0.251379,0.215606,0.017725,-0.295853,-0.037062,0.379541568
39.15,0,9.992344,10,-0.59813,5,9.974224,10,10.004218,10,30.865243,10,4.99338,5,5.047354,5,0.195302,0.288441,0.115054,0.021915,-0.173065,-0.019015,0.130112704
49.04,0,9.993745,10,-0.590011,10,10.002077,10,5.002107,5,30.563585,5,10.126507,10,4.910789,5,0.1837,0.279095,0.172742,0.020304,-0.251379,-0.031583,0.622327454
20.82,0,10.003549,10,-0.607603,10,4.923668,5,9.997878,10,30.939421,5,4.963103,5,4.969317,5,0.197235,0.291664,0.122789,0.023204,-0.180155,-0.023204,0.724800557
94.39,0,9.003471,10,-0.594071,5,9.986603,10,4.808743,5,30.842989,10,4.921181,5,10.016677,10,0.168553,0.256535,0.211416,0.017081,-0.292631,-0.031906,0.51051156
57.98,0,5.019974,5,-0.587305,5,5.01032,5,5.052825,5,30.793537,10,9.921554,10,4.972104,5,0.1837,0.27845,0.179832,0.019659,-0.258469,-0.049309,0.110294959
1,0,1.895095,2,-0.522349,2,1.946566,2,1.648349,2,26.498635,2,2.142681,2,1.970446,2,0.163718,0.252346,0.12859,0.017725,-0.181766,-0.046731,0.546725427
28.47,0,9.929314,10,-0.591364,10,4.719418,5,4.764364,5,30.808373,10,4.816376,5,5.044567,5,0.195624,0.290697,0.120211,0.022237,-0.178543,-0.018692,0.189771025
121.36,0,6.374418,5,-0.596777,5,6.665986,5,6.587059,5,31.362236,10,10.240628,10,10.214558,10,0.162429,0.250734,0.237843,0.017403,-0.325181,-0.043508,0.449241189
112.19,0,4.997564,5,-0.594071,10,10.014455,10,4.967238,5,30.877606,5,9.977451,10,10.008316,10,0.166619,0.257502,0.239132,0.017403,-0.326792,-0.047697,0.08368648
